0,1,2,3,4,5,6,7,8,9,10
lap,3,1'48.875,23.590,34.600,16.211,34.474,246.5,,,
lap,4,1'49.194,24.130,34.585,16.264,34.215,245.4,,,
lap,5,1'48.738,23.498,34.577,16.276,34.387,243.7,,,
lap,6,1'48.730,23.644,34.543,16.195,34.348,245.4,,,
lap,7,1'48.588,23.472,34.568,16.165,34.383,247.1,,,
lap,8,1'52.235,23.521,34.371,16.564,37.779,242.6,,,
lap,9,1'47.920,23.209,34.380,16.249,34.082,240.5,,,
lap,10,1'48.720,23.443,34.395,16.273,34.609,245.4,,,
lap,11,1'47.779,22.954,34.411,16.150,34.264,242.6,,,
lap,12,1'47.907,23.211,34.331,16.233,34.132,238.9,,,
lap,13,1'47.610,23.088,34.232,16.138,34.152,240.5,,,
lap,14,1'48.343,23.185,34.550,16.189,34.419,246.5,,,
lap,15,1'48.150,23.350,34.252,16.205,34.343,244.3,,,
lap,16,1'48.073,23.269,34.479,16.157,34.168,241.6,,,
lap,17,1'48.432,23.531,34.577,16.083,34.241,246.5,,,
lap,18,1'49.009,23.712,34.555,16.284,34.458,247.1,,,
lap,19,1'48.476,23.666,34.466,16.195,34.149,246.0,,,
lap,20,1'48.596,23.729,34.476,16.219,34.172,243.2,,,
lap,21,1'48.855,23.724,34.477,16.225,34.429,242.6,,,
rider,Niccolò,ANTONELL,Avintia,Esponsorama,ITA,6th,23,,,
lap,1,1'49.405,23.530,35.076,16.292,34.507,,,,
lap,2,1'49.613,23.655,34.998,16.360,34.600,244.3,,,
lap,3,1'48.762,23.394,34.773,16.279,34.316,245.4,,,
lap,4,1'49.313,23.683,34.872,16.260,34.498,243.7,,,
lap,5,1'48.705,23.481,34.621,16.196,34.407,242.6,,,
lap,6,1'48.798,23.471,34.636,16.236,34.455,242.6,,,
lap,7,1'48.699,23.410,34.454,16.432,34.403,243.2,,,
lap,8,1'49.069,23.817,34.525,16.368,34.359,242.6,,,
lap,9,1'48.464,23.348,34.424,16.233,34.459,242.6,,,
lap,10,1'48.464,23.289,34.400,16.341,34.434,242.1,,,
lap,11,1'48.441,23.419,34.385,16.283,34.354,242.6,,,
lap,12,1'48.358,23.174,34.430,16.176,34.578,243.2,,,
