0,1,2,3,4,5,6,7,8,9,10
lap,4,2'01.033,26.363,31.153,29.343,34.174,270.0,,,
lap,5,2'01.117,26.431,30.943,29.604,34.139,267.9,,,
lap,6,2'01.139,26.286,30.976,29.430,34.447,268.6,,,
lap,7,2'00.774,26.337,30.884,29.404,34.149,267.3,,,
lap,8,2'00.727,26.306,30.872,29.374,34.175,268.6,,,
lap,9,2'03.697,26.245,30.793,29.323,37.336,267.9,,,
rider,10th,25,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,
lap,1,3'24.262,31.710,33.249,30.345,35.354,144.3,,,
lap,2,2'03.781,27.227,31.995,30.220,34.339,274.1,,,
lap,3,2'01.500,26.633,31.229,29.481,34.157,272.0,,,
lap,4,2'00.986,26.390,31.087,29.414,34.095,272.7,,,
lap,5,2'00.864,26.416,31.005,29.343,34.100,274.1,,,
lap,6,2'00.810,26.348,31.001,29.365,34.096,274.8,,,
lap,7,2'00.841,26.402,31.003,29.316,34.120,272.7,,,
lap,8,2'08.304,29.994,33.545,30.340,34.425,273.4,,,
lap,9,2'01.143,26.537,31.001,29.477,34.128,275.5,,,
lap,10,2'00.875,26.232,31.055,29.522,34.066,274.1,,,
rider,11th,96,Jake,DIXON,Petronas,Sprinta,Raci,GBR,,
lap,1,2'58.254,36.390,32.044,30.175,34.481,98.0,,,
lap,2,2'01.912,26.804,31.489,29.543,34.076,278.3,,,
lap,3,2'05.673,26.395,31.104,29.376,38.798,277.6,,,
lap,4,2'01.856,26.722,31.423,29.538,34.173,272.0,,,
lap,5,2'01.299,26.416,31.155,29.541,34.187*,270.6,,,
lap,6,2'01.183,26.344,31.170,29.539,34.130,271.3,,,
lap,7,2'01.308,26.404,31.209,29.491,34.204,269.3,,,
lap,8,2'10.581,26.512,35.873,29.981,38.215,270.0,,,
lap,9,2'00.867,26.337,31.096,29.388,34.046,273.4,,,
lap,10,2'07.129,26.264,31.120,29.643,40.102,274.1,,,
rider,12th,12,Thomas,LUTHI,Pertamina,Mandalika,SWI,,,
lap,1,3'04.339,31.734,32.620,30.402,34.991,155.6,,,
lap,2,2'02.541,26.716,31.500,29.883,34.442,272.7,,,
lap,3,2'01.684,26.352,31.311,29.833,34.188,274.8,,,
lap,4,2'00.979,26.238,31.076,29.528,34.137,278.3,,,
lap,5,2'04.748,26.212,33.754,30.164,34.618,278.3,,,
lap,6,2'01.847,26.325,31.290,29.828,34.404,273.4,,,
lap,7,2'02.028,26.265,31.126,29.644,34.993,271.3,,,
lap,8,2'01.930,26.408,31.229,29.721,34.572,272.7,,,
lap,9,2'01.239,26.370,31.069,29.582,34.218,272.7,,,
lap,10,2'05.786,30.278,31.411,29.779,34.318,273.4,,,
rider,Tony,ARBOLINO,Liqui,Moly,Intact,GP,ITA,13th,14,
lap,1,3'02.930,31.290,32.262,30.468,35.026,167.4,,,
lap,2,2'03.325,27.217,31.618,29.893,34.597,274.1,,,
lap,3,2'01.796,26.485,31.388,29.702,34.221,274.1,,,
lap,4,2'01.220,26.422,31.155,29.497,34.146,275.5,,,
lap,5,2'01.769,26.288,31.397,29.715,34.369,275.5,,,
lap,6,2'01.457,26.391,31.246,29.572,34.248,276.2,,,
lap,7,2'01.446,26.412,31.144,29.609,34.281,273.4,,,
lap,8,2'08.891,26.438,31.367,32.486,38.600,276.2,,,
lap,9,2'00.994,26.414,31.099,29.432,34.049,277.6,,,
lap,10,2'01.188,26.331,31.076,29.535,34.246,276.9,,,
rider,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,14th,11,
lap,1,3'28.720,34.367,35.293,35.236,35.012,139.3,,,
lap,2,2'02.573,26.782,31.606,29.762,34.423,275.5,,,
