0,1,2,3,4,5,6,7,8,9
lap,5,1'38.383,26.962,22.459,27.092,21.870,244.8,,
lap,6,1'39.308,27.101,22.746,27.405,22.056,244.8,,
lap,7,1'38.876,26.924,22.811,27.148,21.993,244.8,,
lap,8,1'37.726,26.789,22.399,26.686,21.852,244.8,,
lap,9,1'39.564,26.735,22.432,26.705,23.692,245.4,,
rider,Bo,BENDSNEYDER,NTS,RW,Racing,GP,NED,12th,64
lap,1,2'02.014,36.360,23.459,27.581,22.293,241.0,,
lap,2,1'40.423,27.346,22.827,27.745,22.505,238.4,,
lap,3,1'38.447,26.837,22.529,27.075,22.006,244.8,,
lap,4,1'39.347,26.681,23.322,27.421,21.923,241.6,,
lap,5,1'38.645,26.872,22.561,27.248,21.964,241.6,,
lap,6,1'37.826,26.716,22.466,26.830,21.814,241.0,,
lap,7,1'37.844,26.787,22.417,26.832,21.808,240.5,,
lap,8,1'38.046,26.843,22.462,26.817,21.924,242.1,,
lap,9,1'38.180,26.835,22.582,26.922,21.841,240.5,,
rider,Andi,Farid,IZDIHAR,IDEMITSU,Honda,Te,INA,13th,27
lap,1,2'01.873,38.780,24.449,29.053*,23.186,243.2,,
lap,2,1'40.036,27.239,22.920,27.467,22.410,244.8,,
lap,3,1'38.521,27.127,22.487,27.091,21.816,244.8,,
lap,4,1'38.373,26.931,22.659,26.964,21.819,244.3,,
lap,5,1'43.735,29.119,22.830,27.866,23.920,244.8,,
lap,6,1'42.717,28.929,24.035*,27.499,22.254,244.8,,
lap,7,1'44.546,26.882,22.670,27.506,27.488*,243.2,,
lap,8,1'38.451,26.778,22.471,27.058,22.144,245.4,,
lap,9,1'38.823,27.009,22.526,27.339,21.949,242.6,,
rider,Edgar,PONS,Federal,Oil,Gresini,M,SPA,14th,57
lap,1,2'05.154,41.759,23.796,28.304,22.894,242.1,,
lap,2,1'43.955,P,29.924*,23.011,27.959,23.061,242.6,
lap,3,1'51.707,35.022,25.206,28.317,23.162,240.0,,
lap,4,1'40.221,27.776,22.716,27.663,22.066,242.6,,
lap,5,1'39.398,27.465,22.508,27.265,22.160,241.6,,
lap,6,1'39.865,27.162,22.419,27.118,23.166,243.2,,
lap,7,1'40.572,27.428,23.646,27.563,21.935,243.7,,
rider,Jesko,RAFFIN,NTS,RW,Racing,GP,SWI,15th,2
lap,1,2'06.121,37.382,24.088,28.477,23.080,238.9,,
lap,2,1'43.652,27.993,23.361,29.197,23.101,218.1,,
lap,3,1'40.759,27.458,23.201,27.608*,22.492,239.4,,
lap,4,1'47.573,27.502,26.252,31.221,22.598,200.0,,
lap,5,1'41.138,27.606,23.203,27.638,22.691,237.8,,
lap,6,1'42.397,28.446,23.291,27.898,22.762,237.8,,
lap,7,1'40.654,27.630,23.014,27.515,22.495,238.9,,
lap,8,1'40.268,27.487,23.035,27.278,22.468,239.4,,
lap,9,1'48.269,32.747*,23.914,28.371,23.237,236.3,,
