0,1,2,3,4,5,6,7,8,9
const,2020,August 07,Moto2,Automotodrom Brno,FP2,,,,
lap,6,2'03.446,31.712,36.922,34.053,20.759,262.7,,
lap,7,2'03.634,31.756,37.008,34.019,20.851,262.1,,
lap,8,2'13.391,P,32.169,38.047,34.559,28.616,262.1,
lap,9,9'36.728,39.721,38.152,34.488,21.108,,,
lap,unfinished,31.662,36.583,262.7,,,,,
rider,Remy,GARDNER,Onexox,TKKR,SAG,T,AUS,8th,87
lap,1,2'37.318,39.721,41.569,38.373,22.831,,,
lap,2,2'04.140,32.013,36.866,34.178,21.083,260.8,,
lap,3,2'04.139,31.823,37.031,34.248,21.037,261.5,,
lap,4,2'04.199,31.770,37.162,34.307,20.960,260.8,,
lap,5,2'04.759,31.975,37.038,34.441,21.305,258.9,,
lap,6,2'13.183,P,31.957,37.081,34.841,29.304,257.7,
lap,7,13'51.906,35.542,38.506,37.182,21.079,,,
lap,8,2'03.430,31.728,36.507,34.208,20.987,262.7,,
lap,9,2'03.137,31.612,36.595,34.040,20.890,258.9,,
lap,10,2'03.652,31.616,36.708,34.389,20.939,259.6,,
lap,11,2'06.137,31.895,36.755,34.200,23.287,258.3,,
lap,12,2'03.895,31.856,36.926,34.179,20.934,258.3,,
lap,13,2'03.628,31.631,36.735,34.336,20.926,259.6,,
lap,14,2'03.571,31.607,36.903,34.188,20.873,260.2,,
rider,Stefano,MANZI,MV,Agusta,Forward,R,ITA,9th,62
lap,1,2'25.571,44.173,37.887,34.297,20.947,,,
lap,2,2'04.134,31.867,36.917,34.209,21.141,258.9,,
lap,3,2'03.918,31.995,36.875,34.178,20.870,256.5,,
lap,4,2'17.350,P,31.916,37.068,37.712,30.654,257.7,
lap,5,9'42.328,34.069,37.389,34.238,21.038,,,
lap,6,2'04.242,32.033,37.010,34.243,20.956,255.3,,
lap,7,2'15.089,P,32.021,36.969,35.115,30.984,257.1,
lap,8,7'48.274,37.122,37.900,34.412,20.885,,,
lap,9,2'03.260,31.819,36.554,33.905,20.982,254.7,,
lap,10,2'03.230,31.874,36.611,33.978,20.767,254.7,,
lap,11,2'03.243,31.872,36.573,34.001,20.797,254.7,,
lap,12,2'03.471,31.841,36.756,34.048,20.826,254.7,,
lap,13,2'03.139,31.705,36.640,33.941,20.853,258.9,,
rider,Lorenzo,BALDA,Flexbox,HP,40,ITA,10th,7,
lap,1,2'52.734,34.022,38.013,34.744,21.175,,,
lap,2,2'05.280,32.352,37.376,34.354,21.198,257.7,,
lap,3,2'04.871,32.187*,37.095,34.450,21.139,257.1,,
