Year,Date,Track,League,Session_Type,Track_Conditions,Track_Temp,Air_Temp,Humidity
2021,"April,16,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto2,FP2,Dry,35º,22º,68%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto2,FP3,Dry,30º,22º,55%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto2,Q1,Dry,36º,25º,54%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto2,Q2,Dry,39º,23º,56%
2021,"April,18,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto2,WUP,Dry,25º,20º,48%
2021,"April,18,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto2,RAC,Dry,44º,25º,29%
2021,"April,16,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto3,FP1,Dry,20º,17º,89%
2021,"April,16,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto3,FP2,Dry,29º,21º,64%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto3,FP3,Dry,17º,15º,79%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto3,Q1,Dry,38º,25º,48%
2021,"April,17,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto3,Q2,Dry,38º,24º,50%
2021,"April,18,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto3,WUP,Dry,22º,18º,55%
2021,"April,18,2021",Grande Prémio 888 de Portugal - Autódromo Internacional do Algarve,Moto3,RAC,Dry,35º,23º,32%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP1,Dry,19º,15º,80%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP2,Dry,33º,20º,51%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP3,Dry,23º,15º,58%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP4,Dry,39º,19º,35%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,Q1,Dry,41º,19º,41%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,Q2,Dry,42º,20º,41%
2021,"May,02,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,WUP,Dry,22º,16º,63%
2021,"May,02,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,RAC,Dry,41º,22º,36%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,FP1,Dry,24º,18º,67%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,FP2,Dry,39º,21º,42%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,FP3,Dry,27º,17º,47%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,Q1,Dry,40º,20º,40%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,Q2,Dry,42º,20º,39%
2021,"May,02,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,WUP,Dry,18º,13º,74%
2021,"May,02,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,RAC,Dry,38º,20º,40%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,FP1,Dry,17º,12º,85%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,FP2,Dry,29º,19º,52%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,FP3,Dry,18º,13º,63%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,Q1,Dry,36º,19º,38%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,Q2,Dry,37º,19º,38%
2021,"May,02,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,WUP,Dry,15º,6º,92%
2021,"May,02,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,RAC,Dry,27º,18º,54%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,FP1,Dry,31º,20º,56%
2021,"April,30,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,FP2,Dry,42º,21º,38%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,FP3,Dry,33º,18º,35%
2021,"May,01,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,EP,Dry,42º,20º,37%
2021,"May,02,2021",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,RAC,Dry,46º,23º,30%
