0,1,2,3,4,5,6,7,8,9,10,11,12
lap,3,2'03.874,P,28.612,31.714,31.041,32.507,215.5,,,,
lap,4,2'11.272,31.669,31.994,30.459,37.150,147.5,,,,,
lap,5,2'07.257,28.580,31.534,30.521,36.622,218.6,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,14th,55,Total,laps=7,laps=4,
lap,1,2'49.807,33.369,32.280,30.862,36.809,135.8,,,,,
lap,2,2'07.174,28.476,31.728,30.251,36.719,213.4,,,,,
lap,3,2'07.362,28.344,31.741,30.247,37.030,213.0,,,,,
lap,4,2'07.496,28.265,31.677,30.670,36.884,213.8,,,,,
lap,5,2'03.425,P,28.819,32.279,30.595,31.732,215.5,,,,
lap,6,2'12.939,31.775,31.867,31.043,38.254,144.0,,,,,
lap,7,2'07.145,28.600,31.798,30.278,36.469,213.8,,,,,
rider,Stefano,NEPA,BOE,Owlride,ITA,15th,82,Total,laps=5,laps=2,,
lap,1,2'17.852,31.775,32.118,30.694,36.660,142.1,,,,,
lap,2,2'07.414,28.328,31.901,30.487,36.698,224.0,,,,,
lap,3,2'02.795,P,28.303,31.834,30.855,31.803,221.7,,,,
lap,4,2'54.525,1'07.978,38.685,31.151,36.711,,,,,,
lap,5,2'07.197,28.201,31.785,30.570,36.641,224.5,,,,,
rider,Xavier,ARTIGAS,Leopard,Racing,SPA,16th,43,Total,laps=6,laps=3,,
lap,1,3'03.139,31.093,32.020,31.976,38.017,147.7,,,,,
lap,2,2'08.478,28.307,32.374,31.132,36.665,219.9,,,,,
lap,3,2'07.252,27.936,31.849,30.691,36.776,229.2,,,,,
lap,4,2'06.412,P,29.061,32.446,31.312,33.593,225.4,,,,
lap,5,2'11.838,31.676,32.510,30.714,36.938,150.2,,,,,
lap,6,2'07.616,28.164,31.597,30.740,37.115,220.4,,,,,
rider,Ryusei,YAMANAKA,CarXpert,PruestelGP,JPN,17th,6,Total,laps=6,laps=3,,
lap,1,2'41.092,32.452,32.555,31.467,38.715,136.7,,,,,
lap,2,2'08.727,28.683,32.199,30.716,37.129,213.8,,,,,
lap,3,2'07.429,28.202,31.718,30.825,36.684,220.4,,,,,
lap,4,2'02.894,P,28.198,32.134,30.775,31.787,219.5,,,,
lap,5,2'23.994,36.500,32.463,32.549,42.482,112.8,,,,,
lap,6,2'08.748,28.849,32.027,30.813,37.059,224.0,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,18th,7,Total,laps=6,laps=2,,
lap,1,3'03.834,31.888,32.075,32.441,37.336,148.7,,,,,
lap,2,2'07.392,28.115,31.733,30.482,37.062*,223.6,,,,,
lap,3,2'07.498,28.044,31.724,30.743,36.987,222.6,,,,,
lap,4,2'06.426,P,31.888,32.080,30.792,31.666,221.7,,,,
lap,5,2'12.657,31.448,33.108,30.997,37.104,150.0,,,,,
lap,6,2'07.501,28.359,31.702,30.618,36.822,225.0,,,,,
