0,1,2,3,4,5,6,7,8,9,10
lap,2,1'45.878,25.546,23.483,29.897,26.952,214.4,,,
lap,3,1'49.019,25.214,23.521,33.182*,27.102,217.2,,,
lap,4,1'44.552,24.945,23.060,29.962,26.585,216.3,,,
lap,5,1'43.319,24.829,22.792,29.299,26.399,219.1,,,
lap,6,1'43.987,24.853,22.924,29.673,26.537*,218.6,,,
lap,7,1'43.963,24.721,22.881,29.565,26.796,215.3,,,
lap,8,1'42.932,24.541,22.674,29.297,26.420,220.1,,,
lap,9,1'43.188,24.591,22.678,29.168,26.751,219.6,,,
lap,10,1'43.884,24.803,22.916,29.585,26.580,219.6,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,MSPA,10th,52,,,
lap,1,4'52.476,39.933,26.130,40.754,30.511,,,,
lap,2,1'46.217,25.480,23.481,30.376,26.880,214.4,,,
lap,3,1'44.463,24.956,22.923,29.718,26.866,216.7,,,
lap,4,1'44.341,25.123,22.954,29.694,26.570,212.6,,,
lap,5,1'48.389,26.613,23.882,31.158,26.736,214.9,,,
lap,6,1'43.340,24.778,22.755,29.380,26.427,218.6,,,
lap,7,1'43.211,24.683,22.723,29.404,26.401,220.1,,,
lap,8,1'42.952,24.735,22.657,29.221,26.339,215.3,,,
lap,9,1'44.632,24.714,22.568,29.470*,27.880,216.7,,,
lap,10,1'43.241,24.784,22.687,29.199,26.571,217.2,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,11th,23,,
lap,1,4'31.298,34.439,24.716,30.877,28.556,,,,
lap,2,1'49.036,P,26.260,23.557,30.127,29.092,210.3,,
lap,3,5'38.252,24.853,24.029,30.148,27.009,,,,
lap,4,1'44.153,25.131,23.007,29.388,26.627,218.2,,,
lap,5,1'43.321,24.803,22.900,29.248,26.370,217.7,,,
lap,6,1'43.050,24.748,22.714,29.168,26.420,218.2,,,
lap,7,1'44.257,24.662,22.615,30.409*,26.571,218.6,,,
lap,8,1'43.196,24.580,22.666,29.288,26.662,221.6,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,12th,12,,
lap,1,4'16.798,28.009,24.874,36.005,28.157,,,,
lap,2,1'44.589,25.156,23.059,29.536,26.838,216.7,,,
lap,3,1'50.194,25.316,23.515,33.967,27.396,220.1,,,
lap,4,1'44.547,25.003,22.859,29.822,26.863,217.2,,,
lap,5,1'43.755,25.032,22.749,29.489,26.485,216.3,,,
lap,6,1'48.587,24.831,22.770,29.657,31.329,217.7,,,
lap,7,1'47.409,24.939,23.689,30.485,28.296,215.8,,,
lap,8,1'44.522,24.837,22.882,29.857,26.946,220.6,,,
lap,9,1'43.091,24.746,22.752,29.206,26.387,217.7,,,
lap,10,1'45.373,24.677,23.207,29.643,27.846,218.6,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,13th,5,,,
lap,1,4'57.816,36.537,27.792,41.899,28.190,,,,
lap,2,1'45.338,25.300,23.201,29.714,27.123,216.3,,,
lap,3,1'44.200,24.940,23.144,29.533,26.583,219.6,,,
lap,4,1'45.310,24.796,23.127,30.349,27.038,221.1,,,
lap,5,1'43.470,24.607,22.946,29.386,26.531,221.6,,,
lap,6,1'43.632,24.844,23.095,29.259,26.434,224.0,,,
lap,7,1'46.809,24.448,22.934,29.344,30.083,222.0,,,
lap,8,1'43.179,24.664,22.798,29.273,26.444,221.1,,,
lap,9,1'43.362,24.467,22.944,29.512,26.439,221.1,,,
lap,10,1'43.180,24.406,22.798,29.322,26.654,224.5,,,
rider,Yuki,KUNII,Honda,Team,Asia,JPN,14th,92,,
lap,1,4'14.139,32.365,25.013,30.633,27.228*,,,,
lap,2,1'49.875,25.109,23.514,34.097,27.155*,215.3,,,
lap,3,1'45.201,25.155,23.219,29.881,26.946,214.9,,,
lap,4,1'47.508,25.009,23.010,29.986,29.503,215.8,,,
lap,5,1'45.747,25.735*,23.533,29.580,26.899,215.3,,,
lap,6,1'43.764,24.771,22.824,29.483,26.686,218.6,,,
lap,7,1'50.177,24.604,23.319,35.021*,27.233,217.7,,,
lap,8,1'44.178,24.794,22.919,29.680,26.785,216.3,,,
lap,9,1'43.180,24.765,22.767,29.269,26.379,218.2,,,
lap,10,1'43.994,24.606,22.815,29.601,26.972,218.6,,,
rider,Khairul,Idham,PAWI,Petronas,Sprinta,Raci,MAL,15th,89,
lap,1,4'32.603,36.727,25.070,32.779,32.438,,,,
lap,2,1'47.681,26.131,24.456,29.900,27.194,213.9,,,
lap,3,1'45.108,25.209,23.173,29.781,26.945,217.2,,,
lap,4,1'44.798,25.223,23.027,29.739,26.809,214.4,,,
lap,5,1'48.783,25.093,22.897,33.757,27.036,214.4,,,
lap,6,1'44.413,25.175,22.873,29.495*,26.870,213.5,,,
lap,7,1'43.962,25.017,22.837,29.522,26.586,213.0,,,
lap,8,1'43.787,24.958,22.929,29.413,26.487,214.9,,,
lap,9,1'43.180,24.936,22.623,29.235,26.386,214.9,,,
lap,10,1'48.451,26.582,23.141,31.392,27.336,216.7,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,16th,40,,
lap,1,4'24.249,34.733,27.451,32.299,28.189,,,,
lap,2,1'45.461,25.380,23.770,29.460,26.851,216.7,,,
lap,3,1'44.188,24.946,22.985,29.554,26.703,217.7,,,
lap,4,1'43.239,24.957,22.758,29.199,26.325,217.7,,,
lap,5,1'44.495,25.659*,23.035,29.348,26.453,223.5,,,
lap,6,1'43.368,24.842,22.838,29.296,26.392,221.1,,,
lap,7,1'47.902,25.007,25.525,30.757,26.613,217.2,,,
lap,8,1'43.363,24.812,22.768,29.302,26.481,217.2,,,
lap,9,1'49.537,24.778,22.717,34.499*,27.543,222.0,,,
lap,10,1'45.244,25.548,23.117,29.663,26.916,219.1,,,
rider,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,17th,27,
lap,1,4'50.512,41.935,25.810,38.958,28.892,,,,
lap,2,1'46.929,25.723,23.638,30.247,27.321,215.3,,,
lap,3,1'48.187,27.452*,23.673,29.946,27.116,211.7,,,
lap,4,1'44.269,25.233,22.797,29.512*,26.727,214.9,,,
lap,5,1'43.848,24.779,23.001,29.488,26.580,219.1,,,
lap,6,1'43.671,24.811,22.880,29.373,26.607,220.6,,,
lap,7,1'44.424,24.944,23.376,29.393,26.711,216.7,,,
lap,8,1'43.290,24.747,22.795,29.287,26.461,218.2,,,
lap,9,1'43.754,24.735,22.740,29.244,27.035,217.2,,,
lap,10,1'44.729,25.051,22.984,29.565,27.129,220.6,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,18th,17,,
lap,1,4'57.637,45.432,29.344,42.796,28.460,,,,
lap,2,1'45.341,25.266,23.112,29.858,27.105,216.3,,,
lap,3,1'45.290,25.236,23.368,29.892,26.794,216.7,,,
lap,4,1'43.608,24.754,22.788,29.510,26.556,220.6,,,
lap,5,1'43.370,24.702,22.862,29.369,26.437,222.5,,,
lap,6,1'54.039,24.857,32.609,29.810,26.763,221.6,,,
lap,7,1'43.355,24.762,22.697,29.415,26.481,217.2,,,
lap,8,1'43.498,24.671,22.636,29.676,26.515,218.6,,,
lap,9,1'43.594,24.729,22.623,29.529,26.713,216.7,,,
lap,10,1'43.620,24.662,22.733,29.254*,26.971,216.7,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,19th,7,,,
lap,1,4'15.538,41.340,26.229,31.001,27.348*,,,,
lap,2,1'45.728,25.238,23.334,30.009,27.147*,218.6,,,
lap,3,1'49.403,25.186,23.437,33.240,27.540,219.6,,,
lap,4,1'44.376,25.055,23.161,29.478,26.682,218.2,,,
lap,5,1'46.427,24.841,23.063,31.279,27.244,220.1,,,
lap,6,1'44.056,24.832,22.943,29.448,26.833,220.1,,,
lap,7,1'48.112,24.851,25.280,31.231,26.750,224.0,,,
lap,8,1'43.420,24.779,22.794,29.277,26.570,220.1,,,
lap,9,1'43.813,24.924,22.927,29.279,26.683,220.6,,,
lap,10,1'46.238,24.885,24.703,29.777,26.873,222.0,,,
rider,Alonso,LOPEZ,Sterilgarda,Max,Racin,SPA,20th,21,,
lap,1,4'23.546,31.117,24.074,30.432,27.442,,,,
lap,2,1'44.921,25.144,23.192,29.581,27.004,214.9,,,
lap,3,1'44.423,24.965,23.081,29.518,26.859,215.8,,,
lap,4,1'44.080,25.006,22.954,29.447,26.673,216.7,,,
lap,5,1'43.615,24.923,22.785,29.348,26.559,219.1,,,
lap,6,1'43.606,24.848,22.737,29.204,26.817,217.7,,,
lap,7,1'50.756,25.576,25.507,31.952,27.721,213.5,,,
lap,8,1'43.572,25.146,22.688,29.319,26.419,218.6,,,
lap,9,1'43.504,24.917,22.852,29.285,26.450,217.2,,,
lap,10,1'46.090,24.901,23.122,29.570*,28.497,217.2,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,21st,53
lap,1,3'28.119,24.458,23.692,30.182,27.278,,,,
lap,2,1'45.112,25.253,23.167,29.758,26.934,212.6,,,
lap,3,1'45.206,25.345,23.119,29.589,27.153,214.4,,,
lap,4,1'44.553,25.150,23.049,29.659,26.695,214.4,,,
lap,5,1'44.291,24.920,22.914,29.565,26.892,215.3,,,
lap,6,1'43.923,24.794,22.927,29.382,26.820,216.3,,,
lap,7,1'44.639,25.106,22.971,29.361*,27.201,215.8,,,
lap,8,1'43.927,24.701,22.989,29.494,26.743,215.8,,,
lap,9,1'43.522,24.690,22.844,29.354,26.634,215.8,,,
lap,10,1'44.014,24.899,22.939,29.425,26.751,216.3,,,
lap,11,1'43.827,24.848,22.900,29.414,26.665*,216.3,,,
rider,22nd,82,Stefano,NEPA,Gaviota,Aspar,Team,ITA,,
lap,1,4'33.784,33.545,24.693,31.694,33.787,,,,
lap,2,1'46.303,25.731,23.371,29.900,27.301,216.7,,,
lap,3,1'44.974,25.101,23.089,29.788,26.996,216.7,,,
lap,4,1'44.669,25.061,23.004,29.768,26.836,216.7,,,
lap,5,1'43.976,24.824,22.839,29.666,26.647,216.3,,,
lap,6,1'43.843,24.842,22.922,29.453,26.626,216.3,,,
lap,7,1'49.117,24.835,22.888,33.764,27.630,215.8,,,
lap,8,1'43.719,24.822,22.881,29.365,26.651,218.2,,,
lap,9,1'43.545,24.815,22.807,29.296,26.627,218.2,,,
lap,10,1'50.281,27.760*,24.549,30.230,27.742,219.1,,,
rider,23rd,6,Ryusei,YAMANAKA,Estrella,Galicia,"0,0",JPN,,
lap,1,4'51.108,40.648,25.845,40.787,28.772,,,,
lap,2,1'46.543,25.695,23.626,29.982,27.240,213.9,,,
lap,3,1'46.133,25.425,23.695,30.226,26.787,215.3,,,
lap,4,1'44.538,24.946,23.032,29.829,26.731,216.3,,,
lap,5,1'43.910,24.903,22.834,29.517,26.656,218.2,,,
lap,6,1'44.055,24.866,22.768,29.715,26.706,216.7,,,
lap,7,1'47.917,28.007*,23.399,29.633,26.878,212.1,,,
lap,8,1'43.938,24.992,22.773,29.529,26.644,217.2,,,
lap,9,1'44.702,25.385,22.781,30.011,26.525,213.9,,,
lap,10,1'43.551,25.034,22.683,29.263,26.571,215.8,,,
rider,24th,50,Jason,DUPASQUIE,CarXpert,PruestelGP,SWI,,,
lap,1,4'14.375,29.162,24.776,30.594,27.312*,,,,
lap,2,1'47.955,25.053,23.579,32.206,27.117,220.6,,,
lap,3,1'45.307,24.910,23.285,30.015,27.097,220.1,,,
lap,4,1'50.623,29.513*,24.802,29.396,26.912,219.6,,,
lap,5,1'44.056,24.960,22.900,29.494,26.702,220.6,,,
lap,6,1'43.635,24.752,22.833,29.417,26.633,220.6,,,
lap,7,1'44.206,24.730,23.068,29.491,26.917,221.1,,,
lap,8,1'50.733,30.247*,24.099,29.400,26.987,216.7,,,
lap,9,1'43.566,24.750,22.783,29.356,26.677,223.0,,,
lap,10,1'44.736,24.663,22.750,30.188,27.135,221.6,,,
rider,25th,9,Davide,PIZZOLI,BOE,Skull,Rider,Facil,ITA,
lap,1,6'44.485,27.071,25.141,35.808,29.632,,,,
lap,2,1'46.546,25.374,23.584,30.121,27.467,217.2,,,
lap,3,1'46.037,25.551,23.329,30.016,27.141,215.8,,,
lap,4,1'45.041,25.007,23.129,29.892,27.013,215.8,,,
lap,5,1'44.952,24.930,23.239,29.777,27.006,216.3,,,
lap,6,1'44.502,24.898,23.032,29.628,26.944,215.8,,,
lap,7,1'45.038,24.921,23.619,29.826,26.672,216.7,,,
lap,8,1'43.782,24.743,22.852,29.476,26.711,218.2,,,
lap,9,1'43.621,24.691,22.867,29.395,26.668,217.7,,,
rider,26th,71,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN
