,0
0,nation
1,bike_number
2,lap_number
3,lap_time
4,section_one_time
5,section_two_time
6,section_three_time
7,section_four_time
8,average speed
36,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '8', ""1'59.449"", '26.003', '30.821', '29.116', '33.509', '292.6']"
37,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '9', ""1'59.746"", '25.949', '30.981', '29.245', '33.571*', '291.8']"
38,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '10', ""1'59.938"", '26.403', '30.946', '29.169', '33.420', '281.9']"
39,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '11', ""2'00.035"", '26.509', '31.054', '29.120', '33.352', '291.8']"
40,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '12', ""1'59.599"", '26.049', '30.920', '29.164', '33.466', '291.1']"
41,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '13', ""1'59.640"", '26.203', '30.872', '29.178', '33.387', '285.7']"
42,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '14', ""1'59.655"", '25.939', '30.890', '29.314', '33.512', '287.2']"
43,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '15', ""2'00.318"", '26.128', '31.150', '29.485', '33.555', '285.7']"
44,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '16', ""2'00.139"", '26.122', '31.059', '29.394', '33.564', '289.5']"
45,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '17', ""2'00.400"", '26.219', '31.041', '29.491', '33.649', '282.7']"
46,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '18', ""2'00.315"", '26.291', '31.003', '29.421', '33.600', '283.4']"
47,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '19', ""1'59.628"", '26.005', '30.788', '29.294', '33.541', '288.7']"
48,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Lorenzo', 'BALDA', ' Flexbox HP 40', 'ITA', '7', '20', ""1'59.729"", '26.036', '30.789', '29.301', '33.603', '284.9']"
49,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '1', ""2'03.709"", '29.840', '31.217', '29.165', '33.487', '177.6']"
50,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '2', ""2'00.237"", '26.431', '30.914', '29.289', '33.603', '281.2']"
51,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '3', ""2'00.058"", '26.382', '30.936', '29.156', '33.584', '286.4']"
52,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '4', ""1'59.761"", '26.299', '30.945', '29.005', '33.512', '288.0']"
53,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '5', ""2'00.073"", '26.170', '31.223', '29.205', '33.475', '287.2']"
54,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '6', ""1'59.494"", '26.065', '30.814', '29.040', '33.575', '286.4']"
55,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '7', ""1'59.528"", '26.111', '30.925', '29.005', '33.487', '285.7']"
56,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '8', ""1'59.497"", '26.185', '30.926', '29.030', '33.356', '287.2']"
57,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '9', ""1'59.862"", '26.151', '31.036', '29.144', '33.531', '288.0']"
58,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '10', ""2'00.176"", '26.360', '31.129', '29.127', '33.560', '288.7']"
59,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '11', ""1'59.605"", '26.075', '30.926', '29.124', '33.480', '288.0']"
60,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '12', ""1'59.810"", '25.969', '31.281', '29.106', '33.454', '285.7']"
61,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '13', ""1'59.899"", '26.193', '30.972', '29.126', '33.608', '289.5']"
62,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '14', ""1'59.702"", '26.179', '30.928', '29.060', '33.535', '290.3']"
63,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '15', ""2'00.086"", '26.150', '31.052', '29.273', '33.611', '291.1']"
64,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '16', ""2'00.201"", '26.244', '31.076', '29.217', '33.664', '289.5']"
65,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '17', ""2'00.165"", '26.206', '31.023', '29.371', '33.565', '284.9']"
66,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '18', ""2'00.264"", '26.413', '31.074', '29.097', '33.680', '282.7']"
67,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '19', ""1'59.837"", '26.174', '30.943', '29.097', '33.623', '285.7']"
68,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Enea', 'BASTIANINI', ' Italtrans Racing Team', 'ITA', '33', '20', ""1'59.656"", '26.034', '30.936', '29.149', '33.537', '288.7']"
69,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '1', ""2'04.058"", '29.951', '31.215', '29.510', '33.382', '169.8']"
70,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '2', ""2'00.081"", '26.176', '30.945', '29.436', '33.524', '295.0']"
71,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '3', ""1'59.922"", '26.307', '31.044', '29.077', '33.494', '286.4']"
72,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '4', ""1'59.573"", '26.097', '30.875', '29.070', '33.531', '291.8']"
73,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Joe', 'ROBERTS', ' American Racing', 'USA', '16', '5', ""1'59.334"", '26.102', '30.780', '29.054', '33.398', '291.1']"
